,Unnamed: 0,Coverage,Compliance,Average Cost,Average DALYs,CVD Count,CVD Deaths,Total Deaths,Average HTN Cost,Average CVD Cost,Average Chronic Cost
105,105,0.18414918414918416,0.30632911392405066,617.9758877273192,2.4691012057465502,2553,1301,4121,4.7796448811637156,4.104694423614109,609.0915484225395
106,106,0.19627039627039627,0.2636579572446556,603.0167501658882,2.630177225628897,2469,1320,4161,6.6046957798037855,4.677344690453285,591.7347096956332
107,107,0.18135198135198136,0.2519280205655527,620.5152466546766,2.545196220486261,2521,1322,4162,5.239736661134299,4.40557450687634,610.8699354866658
108,108,0.19487179487179487,0.2799043062200957,613.8648423135935,2.412689250568912,2540,1307,4126,4.475408093852667,3.740810047645149,605.6486241720955
109,109,0.1902097902097902,0.3112745098039216,618.2332445946507,2.4317577264137573,2535,1329,4140,5.0294615083658165,3.944722816704372,609.2590602695808
110,110,0.206993006993007,0.2927927927927928,614.123213840632,2.4986452204171368,2532,1313,4139,5.8042409958491445,4.220902802337667,604.0980700424458
111,111,0.18601398601398605,0.3032581453634085,604.7417863700914,2.411974801020748,2475,1285,4130,4.549711154145791,3.378915661859116,596.8131595540864
112,112,0.19673659673659674,0.2890995260663507,617.5068913615861,2.595243964980626,2499,1285,4152,6.089734356176562,4.733042775710309,606.6841142296994
113,113,0.1808857808857809,0.3118556701030928,599.2024389698643,2.470363929071871,2495,1324,4166,5.187458177455201,3.3641537467962674,590.6508270456127
114,114,0.1874125874125874,0.2860696517412935,629.1773038539026,2.449541184146935,2548,1306,4127,4.9210220098453386,4.09994303887113,620.1563388051868
115,115,0.18787878787878787,0.2853598014888337,622.996845244931,2.528787939215941,2525,1313,4139,4.98436680469597,4.229928055853743,613.7825503843811
116,116,0.1972027972027972,0.3120567375886525,609.2337328630942,2.4392312770289197,2492,1320,4155,4.5608084866152545,3.688635485826765,600.9842888906518
117,117,0.1902097902097902,0.2965686274509804,599.3331902740484,2.3940151421498066,2511,1319,4124,4.098062055883114,3.2277439654046853,592.007384252761
118,118,0.19393939393939394,0.3461538461538461,604.5974353225303,2.4623513132177024,2481,1309,4130,5.3865927417274975,3.765585182343953,595.4452573984581
119,119,0.19487179487179487,0.2822966507177033,616.9602502311088,2.4581338323657267,2488,1304,4148,4.9906243106888395,3.7482476818502417,608.2213782385691
120,120,0.1888111888111888,0.2962962962962963,602.0089986218871,2.452392783849849,2474,1316,4148,5.176079217647666,3.6622401129164577,593.1706792913242
121,121,0.19673659673659674,0.3104265402843602,606.0688318392872,2.4615620823745887,2461,1288,4145,5.1805978833458015,4.045926836863372,596.8423071190758
122,122,0.1888111888111888,0.2641975308641975,617.3028633379628,2.5306184246956844,2554,1373,4171,5.272362297355648,4.015057619083411,608.0154434215237
123,123,0.19393939393939394,0.2764423076923077,619.3582843006402,2.416279646020352,2564,1350,4157,4.5257486978523565,3.629161336051976,611.2033742667355
124,124,0.19813519813519812,0.2988235294117647,613.9367711470558,2.502108622997924,2542,1322,4132,5.304921256144222,4.1297196080091565,604.5021302829024
125,125,0.18974358974358974,0.3071253071253071,604.4412395957568,2.422515724784957,2507,1307,4122,4.99002967301695,3.5798533422013534,595.8713565805386
126,126,0.1832167832167832,0.2875318066157761,610.6562435526993,2.445890538754101,2527,1351,4164,4.443145428732058,3.717657256009963,602.4954408679564
127,127,0.1864801864801865,0.285,608.578133265856,2.4568424134657514,2521,1327,4148,4.636501496623226,3.4316511331415565,600.5099806360914
128,128,0.18787878787878787,0.3027295285359802,617.7587976124984,2.479336002552647,2528,1364,4180,4.619198111892105,3.632211308068427,609.507388192538
129,129,0.193006993006993,0.2705314009661836,596.1727542372038,2.3966037620809963,2478,1293,4099,4.227573519387343,3.6696050990876734,588.2755756187282
130,130,0.18135198135198136,0.3161953727506427,609.3849544561672,2.471737739193409,2545,1327,4133,5.144793455747991,3.89865498846914,600.3415060119512
131,131,0.1902097902097902,0.32598039215686275,607.5982526609688,2.482415932649377,2530,1322,4148,5.423707186119219,3.9806307618531274,598.1939147129966
132,132,0.1888111888111888,0.26666666666666666,598.8818142916923,2.430471539016469,2495,1316,4133,4.632822416187985,3.626457197635438,590.6225346778692
133,133,0.1902097902097902,0.2867647058823529,611.6519201601536,2.4381333650214545,2557,1350,4162,4.502181931128188,3.6010526814095694,603.548685547616
134,134,0.19114219114219114,0.3,617.9740221684741,2.4328636786514117,2530,1297,4117,5.09526877099663,3.849494670031563,609.0292587274448
135,135,0.1953379953379953,0.29594272076372313,608.4673617775253,2.393388298399058,2482,1294,4123,4.538483904653544,3.7364930095349274,600.1923848633375
136,136,0.21445221445221446,0.2913043478260869,599.4427035175646,2.4719349614657165,2494,1314,4149,5.192385361240325,3.7286798805039303,590.5216382758198
